Variable Name,MERGED_1996-97 datafile,MERGED_1997-98 datafile,MERGED_1998-99 datafile,MERGED_1999-00 datafile,MERGED_2000-01 datafile,MERGED_2001-02 datafile,MERGED_2002-03 datafile,MERGED_2003-04 datafile,MERGED_2004-05 datafile,MERGED_2005-06 datafile,MERGED_2006-07 datafile,MERGED_2007-08 datafile,MERGED_2008-09 datafile,MERGED_2009-10 datafile,MERGED_2010-11 datafile,MERGED_2011-12 datafile,MERGED_2012-13 datafile,MERGED_2013-14 datafile,MERGED_2014-15 datafile,MERGED_2015-16 datafile,MERGED_2016-17 datafile
UNITID,"AcadYr 1996-97, reported in IPEDS DCY1996-97","AcadYr 1997-98, reported in IPEDS DCY1997-98","AcadYr 1998-99, reported in IPEDS DCY1998-99","AcadYr 1999-00, reported in IPEDS DCY1999-00","AcadYr 2000-01, reported in IPEDS DCY2000-01","AcadYr 2001-02, reported in IPEDS DCY2001-02","AcadYr 2002-03, reported in IPEDS DCY2002-03","AcadYr 2003-04, reported in IPEDS DCY2003-04","AcadYr 2004-05, reported in IPEDS DCY2004-05","AcadYr 2005-06, reported in IPEDS DCY2005-06","AcadYr 2006-07, reported in IPEDS DCY2006-07","AcadYr 2007-08, reported in IPEDS DCY2007-08","AcadYr 2008-09, reported in IPEDS DCY2008-09","AcadYr 2009-10, reported in IPEDS DCY2009-10","AcadYr 2010-11, reported in IPEDS DCY2010-11","AcadYr 2011-12, reported in IPEDS DCY2011-12","AcadYr 2012-13, reported in IPEDS DCY2012-13","AcadYr 2013-14, reported in IPEDS DCY2013-14","AcadYr 2014-15, reported in IPEDS DCY2014-15","AcadYr 2015-16, reported in IPEDS DCY2015-16","AcadYr 2016-17, reported in IPEDS DCY2016-17"
OPEID,"AcadYr 1996-97, reported in IPEDS DCY1996-97","AcadYr 1997-98, reported in IPEDS DCY1997-98","AcadYr 1998-99, reported in IPEDS DCY1998-99","AcadYr 1999-00, reported in IPEDS DCY1999-00","AcadYr 2000-01, reported in IPEDS DCY2000-01","AcadYr 2001-02, reported in IPEDS DCY2001-02","AcadYr 2002-03, reported in IPEDS DCY2002-03","AcadYr 2003-04, reported in IPEDS DCY2003-04","AcadYr 2004-05, reported in IPEDS DCY2004-05","AcadYr 2005-06, reported in IPEDS DCY2005-06","AcadYr 2006-07, reported in IPEDS DCY2006-07","AcadYr 2007-08, reported in IPEDS DCY2007-08","AcadYr 2008-09, reported in IPEDS DCY2008-09","AcadYr 2009-10, reported in IPEDS DCY2009-10","AcadYr 2010-11, reported in IPEDS DCY2010-11","AcadYr 2011-12, reported in IPEDS DCY2011-12","AcadYr 2012-13, reported in IPEDS DCY2012-13","AcadYr 2013-14, reported in IPEDS DCY2013-14","AcadYr 2014-15, reported in IPEDS DCY2014-15","AcadYr 2015-16, reported in IPEDS DCY2015-16","AcadYr 2016-17, reported in IPEDS DCY2016-17"
OPEID6,"AcadYr 1996-97, reported in IPEDS DCY1996-97","AcadYr 1997-98, reported in IPEDS DCY1997-98","AcadYr 1998-99, reported in IPEDS DCY1998-99","AcadYr 1999-00, reported in IPEDS DCY1999-00","AcadYr 2000-01, reported in IPEDS DCY2000-01","AcadYr 2001-02, reported in IPEDS DCY2001-02","AcadYr 2002-03, reported in IPEDS DCY2002-03","AcadYr 2003-04, reported in IPEDS DCY2003-04","AcadYr 2004-05, reported in IPEDS DCY2004-05","AcadYr 2005-06, reported in IPEDS DCY2005-06","AcadYr 2006-07, reported in IPEDS DCY2006-07","AcadYr 2007-08, reported in IPEDS DCY2007-08","AcadYr 2008-09, reported in IPEDS DCY2008-09","AcadYr 2009-10, reported in IPEDS DCY2009-10","AcadYr 2010-11, reported in IPEDS DCY2010-11","AcadYr 2011-12, reported in IPEDS DCY2011-12","AcadYr 2012-13, reported in IPEDS DCY2012-13","AcadYr 2013-14, reported in IPEDS DCY2013-14","AcadYr 2014-15, reported in IPEDS DCY2014-15","AcadYr 2015-16, reported in IPEDS DCY2015-16","AcadYr 2016-17, reported in IPEDS DCY2016-17"
INSTNM,"AcadYr 1996-97, reported in IPEDS DCY1996-97, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2017-18, at latest) are included.","AcadYr 1997-98, reported in IPEDS DCY1997-98, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2017-18, at latest) are included.","AcadYr 1998-99, reported in IPEDS DCY1998-99, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2017-18, at latest) are included.","AcadYr 1999-00, reported in IPEDS DCY1999-00, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2017-18, at latest) are included.","AcadYr 2000-01, reported in IPEDS DCY2000-01, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2017-18, at latest) are included.","AcadYr 2001-02, reported in IPEDS DCY2001-02, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2017-18, at latest) are included.","AcadYr 2002-03, reported in IPEDS DCY2002-03, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2017-18, at latest) are included.","AcadYr 2003-04, reported in IPEDS DCY2003-04, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2017-18, at latest) are included.","AcadYr 2004-05, reported in IPEDS DCY2004-05, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2017-18, at latest) are included.","AcadYr 2005-06, reported in IPEDS DCY2005-06, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2017-18, at latest) are included.","AcadYr 2006-07, reported in IPEDS DCY2006-07, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2017-18, at latest) are included.","AcadYr 2007-08, reported in IPEDS DCY2007-08, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2017-18, at latest) are included.","AcadYr 2008-09, reported in IPEDS DCY2008-09, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2017-18, at latest) are included.","AcadYr 2009-10, reported in IPEDS DCY2009-10, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2017-18, at latest) are included.","AcadYr 2010-11, reported in IPEDS DCY2010-11, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2017-18, at latest) are included.","AcadYr 2011-12, reported in IPEDS DCY2011-12, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2017-18, at latest) are included.","AcadYr 2012-13, reported in IPEDS DCY2012-13, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2017-18, at latest) are included.","AcadYr 2013-14, reported in IPEDS DCY2013-14, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2017-18, at latest) are included.","AcadYr 2014-15, reported in IPEDS DCY2014-15, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2017-18, at latest) are included.","AcadYr 2015-16, reported in IPEDS DCY2015-16, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2017-18, at latest) are included.","AcadYr 2016-17, reported in IPEDS DCY2016-17, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2017-18, at latest) are included."
CITY,"AcadYr 1996-97, reported in IPEDS DCY1996-97, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2017-18, at latest) are included.","AcadYr 1997-98, reported in IPEDS DCY1997-98, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2017-18, at latest) are included.","AcadYr 1998-99, reported in IPEDS DCY1998-99, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2017-18, at latest) are included.","AcadYr 1999-00, reported in IPEDS DCY1999-00, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2017-18, at latest) are included.","AcadYr 2000-01, reported in IPEDS DCY2000-01, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2017-18, at latest) are included.","AcadYr 2001-02, reported in IPEDS DCY2001-02, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2017-18, at latest) are included.","AcadYr 2002-03, reported in IPEDS DCY2002-03, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2017-18, at latest) are included.","AcadYr 2003-04, reported in IPEDS DCY2003-04, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2017-18, at latest) are included.","AcadYr 2004-05, reported in IPEDS DCY2004-05, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2017-18, at latest) are included.","AcadYr 2005-06, reported in IPEDS DCY2005-06, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2017-18, at latest) are included.","AcadYr 2006-07, reported in IPEDS DCY2006-07, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2017-18, at latest) are included.","AcadYr 2007-08, reported in IPEDS DCY2007-08, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2017-18, at latest) are included.","AcadYr 2008-09, reported in IPEDS DCY2008-09, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2017-18, at latest) are included.","AcadYr 2009-10, reported in IPEDS DCY2009-10, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2017-18, at latest) are included.","AcadYr 2010-11, reported in IPEDS DCY2010-11, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2017-18, at latest) are included.","AcadYr 2011-12, reported in IPEDS DCY2011-12, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2017-18, at latest) are included.","AcadYr 2012-13, reported in IPEDS DCY2012-13, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2017-18, at latest) are included.","AcadYr 2013-14, reported in IPEDS DCY2013-14, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2017-18, at latest) are included.","AcadYr 2014-15, reported in IPEDS DCY2014-15, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2017-18, at latest) are included.","AcadYr 2015-16, reported in IPEDS DCY2015-16, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2017-18, at latest) are included.","AcadYr 2016-17, reported in IPEDS DCY2016-17, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2017-18, at latest) are included."
STABBR,"AcadYr 1996-97, reported in IPEDS DCY1996-97, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2017-18, at latest) are included.","AcadYr 1997-98, reported in IPEDS DCY1997-98, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2017-18, at latest) are included.","AcadYr 1998-99, reported in IPEDS DCY1998-99, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2017-18, at latest) are included.","AcadYr 1999-00, reported in IPEDS DCY1999-00, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2017-18, at latest) are included.","AcadYr 2000-01, reported in IPEDS DCY2000-01, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2017-18, at latest) are included.","AcadYr 2001-02, reported in IPEDS DCY2001-02, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2017-18, at latest) are included.","AcadYr 2002-03, reported in IPEDS DCY2002-03, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2017-18, at latest) are included.","AcadYr 2003-04, reported in IPEDS DCY2003-04, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2017-18, at latest) are included.","AcadYr 2004-05, reported in IPEDS DCY2004-05, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2017-18, at latest) are included.","AcadYr 2005-06, reported in IPEDS DCY2005-06, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2017-18, at latest) are included.","AcadYr 2006-07, reported in IPEDS DCY2006-07, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2017-18, at latest) are included.","AcadYr 2007-08, reported in IPEDS DCY2007-08, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2017-18, at latest) are included.","AcadYr 2008-09, reported in IPEDS DCY2008-09, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2017-18, at latest) are included.","AcadYr 2009-10, reported in IPEDS DCY2009-10, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2017-18, at latest) are included.","AcadYr 2010-11, reported in IPEDS DCY2010-11, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2017-18, at latest) are included.","AcadYr 2011-12, reported in IPEDS DCY2011-12, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2017-18, at latest) are included.","AcadYr 2012-13, reported in IPEDS DCY2012-13, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2017-18, at latest) are included.","AcadYr 2013-14, reported in IPEDS DCY2013-14, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2017-18, at latest) are included.","AcadYr 2014-15, reported in IPEDS DCY2014-15, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2017-18, at latest) are included.","AcadYr 2015-16, reported in IPEDS DCY2015-16, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2017-18, at latest) are included.","AcadYr 2016-17, reported in IPEDS DCY2016-17, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2017-18, at latest) are included."
ZIP,"AcadYr 1996-97, reported in IPEDS DCY1996-97, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2017-18, at latest) are included.","AcadYr 1997-98, reported in IPEDS DCY1997-98, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2017-18, at latest) are included.","AcadYr 1998-99, reported in IPEDS DCY1998-99, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2017-18, at latest) are included.","AcadYr 1999-00, reported in IPEDS DCY1999-00, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2017-18, at latest) are included.","AcadYr 2000-01, reported in IPEDS DCY2000-01, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2017-18, at latest) are included.","AcadYr 2001-02, reported in IPEDS DCY2001-02, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2017-18, at latest) are included.","AcadYr 2002-03, reported in IPEDS DCY2002-03, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2017-18, at latest) are included.","AcadYr 2003-04, reported in IPEDS DCY2003-04, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2017-18, at latest) are included.","AcadYr 2004-05, reported in IPEDS DCY2004-05, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2017-18, at latest) are included.","AcadYr 2005-06, reported in IPEDS DCY2005-06, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2017-18, at latest) are included.","AcadYr 2006-07, reported in IPEDS DCY2006-07, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2017-18, at latest) are included.","AcadYr 2007-08, reported in IPEDS DCY2007-08, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2017-18, at latest) are included.","AcadYr 2008-09, reported in IPEDS DCY2008-09, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2017-18, at latest) are included.","AcadYr 2009-10, reported in IPEDS DCY2009-10, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2017-18, at latest) are included.","AcadYr 2010-11, reported in IPEDS DCY2010-11, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2017-18, at latest) are included.","AcadYr 2011-12, reported in IPEDS DCY2011-12, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2017-18, at latest) are included.","AcadYr 2012-13, reported in IPEDS DCY2012-13, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2017-18, at latest) are included.","AcadYr 2013-14, reported in IPEDS DCY2013-14, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2017-18, at latest) are included.","AcadYr 2014-15, reported in IPEDS DCY2014-15, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2017-18, at latest) are included.","AcadYr 2015-16, reported in IPEDS DCY2015-16, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2017-18, at latest) are included.","AcadYr 2016-17, reported in IPEDS DCY2016-17, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2017-18, at latest) are included."
ACCREDAGENCY,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"PEPS as of October 5, 2018"
INSTURL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"AcadYr 2017-18, reported in IPEDS DCY2017-18 if data was provided; otherwise AcadYr 2016-17, reported in IPEDS DCY2016-17"
NPCURL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"AcadYr 2017-18, reported in IPEDS DCY2017-18 if data was provided; otherwise AcadYr 2016-17, reported in IPEDS DCY2016-17"
