Variable Name,Cohort/Measure in Featured Downloads Datafiles,Merged file Drawn From (MergedXXXX_YY_PP.csv),,
UNITID,"AcadYr 2016-17, reported in IPEDS DCY2016-17",2016_17,,
OPEID,"AcadYr 2016-17, reported in IPEDS DCY2016-17",2016_17,,
OPEID6,"AcadYr 2016-17, reported in IPEDS DCY2016-17",2016_17,,
INSTNM,"AcadYr 2016-17, reported in IPEDS DCY2016-17, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2017-18, at latest) are included.",2016_17,,
CITY,"AcadYr 2016-17, reported in IPEDS DCY2016-17, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2017-18, at latest) are included.",2016_17,,
STABBR,"AcadYr 2016-17, reported in IPEDS DCY2016-17, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2017-18, at latest) are included.",2016_17,,
ZIP,"AcadYr 2016-17, reported in IPEDS DCY2016-17, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2017-18, at latest) are included.",2016_17,,
ACCREDAGENCY,"PEPS as of October 5, 2018",2016_17,,
INSTURL,"AcadYr 2017-18, reported in IPEDS DCY2017-18 if data was provided; otherwise AcadYr 2016-17, reported in IPEDS DCY2016-17",2016_17,,
NPCURL,"AcadYr 2017-18, reported in IPEDS DCY2017-18 if data was provided; otherwise AcadYr 2016-17, reported in IPEDS DCY2016-17",2016_17,,
SCH_DEG,AY 2012-13,2015_16,,
HCM2,"FSA as of June 1, 2018",2016_17,,
MAIN,"AcadYr 2016-17, reported in IPEDS DCY2016-17",2016_17,,
NUMBRANCH,"AcadYr 2016-17, reported in IPEDS DCY2016-17",2016_17,,
PREDDEG,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
HIGHDEG,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
CONTROL,"AcadYr 2016-17, reported in IPEDS DCY2016-17",2016_17,,
ST_FIPS,"AcadYr 2016-17, reported in IPEDS DCY2016-17, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2017-18, at latest) are included.",2016_17,,
REGION,"AcadYr 2016-17, reported in IPEDS DCY2016-17, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2017-18, at latest) are included.",2016_17,,
LOCALE,"AcadYr 2017-18, reported in IPEDS DCY2017-18 if data was provided; otherwise AcadYr 2016-17, reported in IPEDS DCY2016-17",2016_17,,
LOCALE2,NULL,N/A,,
LATITUDE,"AcadYr 2017-18, reported in IPEDS DCY2017-18 if data was provided; otherwise AcadYr 2016-17, reported in IPEDS DCY2016-17",2016_17,,
LONGITUDE,"AcadYr 2017-18, reported in IPEDS DCY2017-18 if data was provided; otherwise AcadYr 2016-17, reported in IPEDS DCY2016-17",2016_17,,
CCBASIC,"AcadYr 2017-18, reported in IPEDS DCY2017-18 if data was provided; otherwise AcadYr 2016-17, reported in IPEDS DCY2016-17",2016_17,,
CCUGPROF,"AcadYr 2017-18, reported in IPEDS DCY2017-18 if data was provided; otherwise AcadYr 2016-17, reported in IPEDS DCY2016-17",2016_17,,
CCSIZSET,"AcadYr 2017-18, reported in IPEDS DCY2017-18 if data was provided; otherwise AcadYr 2016-17, reported in IPEDS DCY2016-17",2016_17,,
HBCU,College Navigator CY2018,2016_17,,
PBI,OPE FY2018,2016_17,,
ANNHI,OPE FY2018,2016_17,,
TRIBAL,OPE FY2018,2016_17,,
AANAPII,OPE FY2018,2016_17,,
HSI,OPE FY2018,2016_17,,
NANTI,OPE FY2018,2016_17,,
MENONLY,College Navigator CY2018,2016_17,,
WOMENONLY,College Navigator CY2018,2016_17,,
RELAFFIL,"AcadYr 2017-18, reported in IPEDS DCY2017-18 if data was provided; otherwise AcadYr 2016-17, reported in IPEDS DCY2016-17",2016_17,,
ADM_RATE,"Fall 2016, reported in IPEDS DCY2016-17",2016_17,,
ADM_RATE_ALL,"Fall 2016, reported in IPEDS DCY2016-17",2016_17,,
SATVR25,"Fall 2016, reported in IPEDS DCY2016-17",2016_17,,
