dev_cat,dev_name,api_data_type
root,id,integer
root,ope8_id,integer
root,ope6_id,integer
school,name,autocomplete
school,city,autocomplete
school,state,string
school,zip,string
school,accreditor,string
school,school_url,string
school,price_calculator_url,string
school,degrees_awarded.predominant_recoded,integer
school,under_investigation,integer
school,main_campus,integer
school,,
school,branches,integer
school,degrees_awarded.predominant,integer
school,,
school,,
school,,
school,,
school,degrees_awarded.highest,integer
school,,
school,,
school,,
school,,
school,ownership,integer
school,,
school,,
school,state_fips,integer
school,,
school,,
school,,
school,,
school,,
school,,
school,,
school,,
school,,
school,,
school,,
school,,
school,,
school,,
school,,
school,,
school,,
school,,
school,,
school,,
school,,
school,,
school,,
school,,
school,,
school,,
school,,
school,,
school,,
school,,
school,,
school,,
school,,
school,,
school,,
school,,
school,,
school,,
school,,
school,,
school,,
school,,
school,,
school,,
school,,
school,,
school,,
school,,
school,,
school,,
school,,
school,,
school,,
school,,
school,,
school,,
school,,
school,region_id,integer
school,,
school,,
school,,
school,,
school,,
school,,
school,,
school,,
school,,
school,locale,integer
school,,
school,,
school,,
school,,
school,,
school,,
school,,
school,,
school,,
school,,
school,,
school,degree_urbanization,integer
school,,
school,,
school,,
school,,
school,,
school,,
school,,
root,location.lat,float
root,location.lon,float
school,carnegie_basic,integer
school,,
school,,
school,,
school,,
school,,
school,,
school,,
school,,
school,,
school,,
school,,
school,,
school,,
school,,
school,,
school,,
school,,
school,,
school,,
school,,
school,,
school,,
school,,
school,,
school,,
school,,
school,,
school,,
school,,
school,,
school,,
school,,
school,,
school,,
school,carnegie_undergrad,integer
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
school,carnegie_size_setting,integer
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
school,minority_serving.historically_black,integer
,,
school,minority_serving.predominantly_black,integer
,,
school,minority_serving.annh,integer
,,
school,minority_serving.tribal,integer
,,
school,minority_serving.aanipi,integer
,,
school,minority_serving.hispanic,integer
,,
school,minority_serving.nant,integer
,,
school,men_only,integer
,,
school,women_only,integer
,,
school,religious_affiliation,integer
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
admissions,admission_rate.overall,float
admissions,admission_rate.by_ope_id,float
admissions,sat_scores.25th_percentile.critical_reading,float
admissions,sat_scores.75th_percentile.critical_reading,float
admissions,sat_scores.25th_percentile.math,float
admissions,sat_scores.75th_percentile.math,float
admissions,sat_scores.25th_percentile.writing,float
admissions,sat_scores.75th_percentile.writing,float
admissions,sat_scores.midpoint.critical_reading,float
admissions,sat_scores.midpoint.math,float
admissions,sat_scores.midpoint.writing,float
admissions,act_scores.25th_percentile.cumulative,float
admissions,act_scores.75th_percentile.cumulative,float
admissions,act_scores.25th_percentile.english,float
admissions,act_scores.75th_percentile.english,float
admissions,act_scores.25th_percentile.math,float
admissions,act_scores.75th_percentile.math,float
admissions,act_scores.25th_percentile.writing,float
admissions,act_scores.75th_percentile.writing,float
admissions,act_scores.midpoint.cumulative,float
admissions,act_scores.midpoint.english,float
admissions,act_scores.midpoint.math,float
admissions,act_scores.midpoint.writing,float
admissions,sat_scores.average.overall,float
admissions,sat_scores.average.by_ope_id,float
academics,program_percentage.agriculture,float
academics,program_percentage.resources,float
academics,program_percentage.architecture,float
academics,program_percentage.ethnic_cultural_gender,float
academics,program_percentage.communication,float
academics,program_percentage.communications_technology,float
academics,program_percentage.computer,float
academics,program_percentage.personal_culinary,float
academics,program_percentage.education,float
academics,program_percentage.engineering,float
academics,program_percentage.engineering_technology,float
academics,program_percentage.language,float
academics,program_percentage.family_consumer_science,float
academics,program_percentage.legal,float
academics,program_percentage.english,float
academics,program_percentage.humanities,float
academics,program_percentage.library,float
academics,program_percentage.biological,float
academics,program_percentage.mathematics,float
academics,program_percentage.military,float
academics,program_percentage.multidiscipline,float
academics,program_percentage.parks_recreation_fitness,float
academics,program_percentage.philosophy_religious,float
academics,program_percentage.theology_religious_vocation,float
academics,program_percentage.physical_science,float
academics,program_percentage.science_technology,float
academics,program_percentage.psychology,float
academics,program_percentage.security_law_enforcement,float
academics,program_percentage.public_administration_social_service,float
academics,program_percentage.social_science,float
academics,program_percentage.construction,float
academics,program_percentage.mechanic_repair_technology,float
academics,program_percentage.precision_production,float
academics,program_percentage.transportation,float
academics,program_percentage.visual_performing,float
academics,program_percentage.health,float
academics,program_percentage.business_marketing,float
academics,program_percentage.history,float
academics,program.certificate_lt_1_yr.agriculture,integer
academics,program.certificate_lt_2_yr.agriculture,integer
academics,program.assoc.agriculture,integer
academics,program.certificate_lt_4_yr.agriculture,integer
academics,program.bachelors.agriculture,integer
academics,program.certificate_lt_1_yr.resources,integer
academics,program.certificate_lt_2_yr.resources,integer
academics,program.assoc.resources,integer
academics,program.certificate_lt_4_yr.resources,integer
academics,program.bachelors.resources,integer
academics,program.certificate_lt_1_yr.architecture,integer
academics,program.certificate_lt_2_yr.architecture,integer
academics,program.assoc.architecture,integer
academics,program.certificate_lt_4_yr.architecture,integer
academics,program.bachelors.architecture,integer
academics,program.certificate_lt_1_yr.ethnic_cultural_gender,integer
academics,program.certificate_lt_2_yr.ethnic_cultural_gender,integer
academics,program.assoc.ethnic_cultural_gender,integer
academics,program.certificate_lt_4_yr.ethnic_cultural_gender,integer
academics,program.bachelors.ethnic_cultural_gender,integer
academics,program.certificate_lt_1_yr.communication,integer
academics,program.certificate_lt_2_yr.communication,integer
academics,program.assoc.communication,integer
academics,program.certificate_lt_4_yr.communication,integer
academics,program.bachelors.communication,integer
academics,program.certificate_lt_1_yr.communications_technology,integer
academics,program.certificate_lt_2_yr.communications_technology,integer
academics,program.assoc.communications_technology,integer
academics,program.certificate_lt_4_yr.communications_technology,integer
academics,program.bachelors.communications_technology,integer
academics,program.certificate_lt_1_yr.computer,integer
academics,program.certificate_lt_2_yr.computer,integer
academics,program.assoc.computer,integer
academics,program.certificate_lt_4_yr.computer,integer
academics,program.bachelors.computer,integer
academics,program.certificate_lt_1_yr.personal_culinary,integer
academics,program.certificate_lt_2_yr.personal_culinary,integer
academics,program.assoc.personal_culinary,integer
academics,program.certificate_lt_4_yr.personal_culinary,integer
academics,program.bachelors.personal_culinary,integer
academics,program.certificate_lt_1_yr.education,integer
academics,program.certificate_lt_2_yr.education,integer
academics,program.assoc.education,integer
academics,program.certificate_lt_4_yr.education,integer
academics,program.bachelors.education,integer
academics,program.certificate_lt_1_yr.engineering,integer
academics,program.certificate_lt_2_yr.engineering,integer
academics,program.assoc.engineering,integer
academics,program.certificate_lt_4_yr.engineering,integer
academics,program.bachelors.engineering,integer
academics,program.certificate_lt_1_yr.engineering_technology,integer
academics,program.certificate_lt_2_yr.engineering_technology,integer
academics,program.assoc.engineering_technology,integer
academics,program.certificate_lt_4_yr.engineering_technology,integer
academics,program.bachelors.engineering_technology,integer
academics,program.certificate_lt_1_yr.language,integer
academics,program.certificate_lt_2_yr.language,integer
academics,program.assoc.language,integer
academics,program.certificate_lt_4_yr.language,integer
academics,program.bachelors.language,integer
academics,program.certificate_lt_1_yr.family_consumer_science,integer
academics,program.certificate_lt_2_yr.family_consumer_science,integer
academics,program.assoc.family_consumer_science,integer
academics,program.certificate_lt_4_yr.family_consumer_science,integer
academics,program.bachelors.family_consumer_science,integer
academics,program.certificate_lt_1_yr.legal,integer
academics,program.certificate_lt_2_yr.legal,integer
academics,program.assoc.legal,integer
academics,program.certificate_lt_4_yr.legal,integer
academics,program.bachelors.legal,integer
academics,program.certificate_lt_1_yr.english,integer
academics,program.certificate_lt_2_yr.english,integer
academics,program.assoc.english,integer
academics,program.certificate_lt_4_yr.english,integer
academics,program.bachelors.english,integer
academics,program.certificate_lt_1_yr.humanities,integer
academics,program.certificate_lt_2_yr.humanities,integer
academics,program.assoc.humanities,integer
academics,program.certificate_lt_4_yr.humanities,integer
academics,program.bachelors.humanities,integer
academics,program.certificate_lt_1_yr.library,integer
academics,program.certificate_lt_2_yr.library,integer
academics,program.assoc.library,integer
academics,program.certificate_lt_4_yr.library,integer
academics,program.bachelors.library,integer
academics,program.certificate_lt_1_yr.biological,integer
academics,program.certificate_lt_2_yr.biological,integer
academics,program.assoc.biological,integer
academics,program.certificate_lt_4_yr.biological,integer
academics,program.bachelors.biological,integer
academics,program.certificate_lt_1_yr.mathematics,integer
academics,program.certificate_lt_2_yr.mathematics,integer
academics,program.assoc.mathematics,integer
academics,program.certificate_lt_4_yr.mathematics,integer
academics,program.bachelors.mathematics,integer
academics,program.certificate_lt_1_yr.military,integer
academics,program.certificate_lt_2_yr.military,integer
academics,program.assoc.military,integer
academics,program.certificate_lt_4_yr.military,integer
academics,program.bachelors.military,integer
academics,program.certificate_lt_1_yr.multidiscipline,integer
academics,program.certificate_lt_2_yr.multidiscipline,integer
academics,program.assoc.multidiscipline,integer
academics,program.certificate_lt_4_yr.multidiscipline,integer
academics,program.bachelors.multidiscipline,integer
academics,program.certificate_lt_1_yr.parks_recreation_fitness,integer
academics,program.certificate_lt_2_yr.parks_recreation_fitness,integer
academics,program.assoc.parks_recreation_fitness,integer
academics,program.certificate_lt_4_yr.parks_recreation_fitness,integer
academics,program.bachelors.parks_recreation_fitness,integer
academics,program.certificate_lt_1_yr.philosophy_religious,integer
academics,program.certificate_lt_2_yr.philosophy_religious,integer
academics,program.assoc.philosophy_religious,integer
academics,program.certificate_lt_4_yr.philosophy_religious,integer
academics,program.bachelors.philosophy_religious,integer
academics,program.certificate_lt_1_yr.theology_religious_vocation,integer
academics,program.certificate_lt_2_yr.theology_religious_vocation,integer
academics,program.assoc.theology_religious_vocation,integer
academics,program.certificate_lt_4_yr.theology_religious_vocation,integer
academics,program.bachelors.theology_religious_vocation,integer
academics,program.certificate_lt_1_yr.physical_science,integer
academics,program.certificate_lt_2_yr.physical_science,integer
academics,program.assoc.physical_science,integer
academics,program.certificate_lt_4_yr.physical_science,integer
academics,program.bachelors.physical_science,integer
academics,program.certificate_lt_1_yr.science_technology,integer
academics,program.certificate_lt_2_yr.science_technology,integer
academics,program.assoc.science_technology,integer
academics,program.certificate_lt_4_yr.science_technology,integer
academics,program.bachelors.science_technology,integer
academics,program.certificate_lt_1_yr.psychology,integer
academics,program.certificate_lt_2_yr.psychology,integer
academics,program.assoc.psychology,integer
academics,program.certificate_lt_4_yr.psychology,integer
academics,program.bachelors.psychology,integer
academics,program.certificate_lt_1_yr.security_law_enforcement,integer
academics,program.certificate_lt_2_yr.security_law_enforcement,integer
academics,program.assoc.security_law_enforcement,integer
academics,program.certificate_lt_4_yr.security_law_enforcement,integer
academics,program.bachelors.security_law_enforcement,integer
academics,program.certificate_lt_1_yr.public_administration_social_service,integer
academics,program.certificate_lt_2_yr.public_administration_social_service,integer
academics,program.assoc.public_administration_social_service,integer
academics,program.certificate_lt_4_yr.public_administration_social_service,integer
academics,program.bachelors.public_administration_social_service,integer
academics,program.certificate_lt_1_yr.social_science,integer
academics,program.certificate_lt_2_yr.social_science,integer
academics,program.assoc.social_science,integer
academics,program.certificate_lt_4_yr.social_science,integer
academics,program.bachelors.social_science,integer
academics,program.certificate_lt_1_yr.construction,integer
academics,program.certificate_lt_2_yr.construction,integer
academics,program.assoc.construction,integer
academics,program.certificate_lt_4_yr.construction,integer
academics,program.bachelors.construction,integer
academics,program.certificate_lt_1_yr.mechanic_repair_technology,integer
academics,program.certificate_lt_2_yr.mechanic_repair_technology,integer
academics,program.assoc.mechanic_repair_technology,integer
academics,program.certificate_lt_4_yr.mechanic_repair_technology,integer
academics,program.bachelors.mechanic_repair_technology,integer
academics,program.certificate_lt_1_yr.precision_production,integer
academics,program.certificate_lt_2_yr.precision_production,integer
academics,program.assoc.precision_production,integer
academics,program.certificate_lt_4_yr.precision_production,integer
academics,program.bachelors.precision_production,integer
academics,program.certificate_lt_1_yr.transportation,integer
academics,program.certificate_lt_2_yr.transportation,integer
academics,program.assoc.transportation,integer
academics,program.certificate_lt_4_yr.transportation,integer
academics,program.bachelors.transportation,integer
academics,program.certificate_lt_1_yr.visual_performing,integer
academics,program.certificate_lt_2_yr.visual_performing,integer
academics,program.assoc.visual_performing,integer
academics,program.certificate_lt_4_yr.visual_performing,integer
academics,program.bachelors.visual_performing,integer
academics,program.certificate_lt_1_yr.health,integer
academics,program.certificate_lt_2_yr.health,integer
academics,program.assoc.health,integer
academics,program.certificate_lt_4_yr.health,integer
academics,program.bachelors.health,integer
academics,program.certificate_lt_1_yr.business_marketing,integer
academics,program.certificate_lt_2_yr.business_marketing,integer
academics,program.assoc.business_marketing,integer
academics,program.certificate_lt_4_yr.business_marketing,integer
academics,program.bachelors.business_marketing,integer
academics,program.certificate_lt_1_yr.history,integer
academics,program.certificate_lt_2_yr.history,integer
academics,program.assoc.history,integer
academics,program.certificate_lt_4_yr.history,integer
academics,program.bachelors.history,integer
school,online_only,integer
,,
student,size,integer
student,enrollment.all,integer
student,demographics.race_ethnicity.white,float
student,demographics.race_ethnicity.black,float
student,demographics.race_ethnicity.hispanic,float
student,demographics.race_ethnicity.asian,float
student,demographics.race_ethnicity.aian,float
student,demographics.race_ethnicity.nhpi,float
student,demographics.race_ethnicity.two_or_more,float
student,demographics.race_ethnicity.non_resident_alien,float
student,demographics.race_ethnicity.unknown,float
student,demographics.race_ethnicity.white_non_hispanic,float
student,demographics.race_ethnicity.black_non_hispanic,float
student,demographics.race_ethnicity.asian_pacific_islander,float
student,demographics.race_ethnicity.aian_prior_2009,float
student,demographics.race_ethnicity.hispanic_prior_2009,float
student,demographics.non_resident_aliens_2000,float
student,demographics.race_ethnicity.unknown_2000,float
student,demographics.race_ethnicity.white_2000,float
student,demographics.race_ethnicity.black_2000,float
student,demographics.race_ethnicity.api_2000,float
student,demographics.race_ethnicity.aian_2000,float
student,demographics.race_ethnicity.hispanic_2000,float
student,part_time_share,float
student,part_time_share_2000,float
school,operating,integer
,,
cost,avg_net_price.public,integer
cost,avg_net_price.private,integer
cost,avg_net_price.program_year,integer
cost,avg_net_price.other_academic_year,integer
cost,net_price.public.by_income_level.0-30000,integer
cost,net_price.public.by_income_level.30001-48000,integer
cost,net_price.public.by_income_level.48001-75000,integer
cost,net_price.public.by_income_level.75001-110000,integer
cost,net_price.public.by_income_level.110001-plus,integer
cost,net_price.private.by_income_level.0-30000,integer
cost,net_price.private.by_income_level.30001-48000,integer
cost,net_price.private.by_income_level.48001-75000,integer
cost,net_price.private.by_income_level.75001-110000,integer
cost,net_price.private.by_income_level.110001-plus,integer
cost,net_price.program_reporter.by_income_level.0-30000,integer
cost,net_price.program_reporter.by_income_level.30001-48000,integer
cost,net_price.program_reporter.by_income_level.48001-75000,integer
cost,net_price.program_reporter.by_income_level.75001-110000,integer
cost,net_price.program_reporter.by_income_level.110001-plus,integer
cost,net_price.other_acad_calendar.by_income_level.0-30000,integer
cost,net_price.other_acad_calendar.by_income_level.30001-48000,integer
cost,net_price.other_acad_calendar.by_income_level.48001-75000,integer
cost,net_price.other_acad_calendar.by_income_level.75001-110000,integer
cost,net_price.other_acad_calendar.by_income_level.110001-plus,integer
cost,net_price.public.by_income_level.0-48000,integer
cost,net_price.private.by_income_level.0-48000,integer
cost,net_price.program_reporter.by_income_level.0-48000,integer
cost,net_price.other_acad_calendar.by_income_level.0-48000,integer
cost,net_price.public.by_income_level.30001-75000,integer
cost,net_price.private.by_income_level.30001-75000,integer
cost,net_price.public.by_income_level.75000-plus,integer
cost,net_price.private.by_income_level.75000-plus,integer
cost,net_price.program_reporter.by_income_level.30001-75000,integer
cost,net_price.other_acad_calendar.by_income_level.30001-75000,integer
cost,net_price.program_reporter.by_income_level.75000-plus,integer
cost,net_price.other_acad_calendar.by_income_level.75000-plus,integer
cost,title_iv.public.all,integer
cost,title_iv.private.all,integer
cost,title_iv.program_year,integer
cost,title_iv.academic_year,integer
cost,title_iv.public.by_income_level.0-30000,integer
cost,title_iv.public.by_income_level.30001-48000,integer
cost,title_iv.public.by_income_level.48001-75000,integer
cost,title_iv.public.by_income_level.75001-110000,integer
cost,title_iv.public.by_income_level.110001-plus,integer
cost,title_iv.private.by_income_level.0-30000,integer
cost,title_iv.private.by_income_level.30001-48000,integer
cost,title_iv.private.by_income_level.48001-75000,integer
cost,title_iv.private.by_income_level.75001-110000,integer
cost,title_iv.private.by_income_level.110001-plus,integer
cost,title_iv.program_reporter.by_income_level.0-30000,integer
cost,title_iv.program_reporter.by_income_level.30001-48000,integer
cost,title_iv.program_reporter.by_income_level.48001-75000,integer
cost,title_iv.program_reporter.by_income_level.75001-110000,integer
cost,title_iv.program_reporter.by_income_level.110001-plus,integer
cost,title_iv.other_acad_calendar.by_income_level.0-30000,integer
cost,title_iv.other_acad_calendar.by_income_level.30001-48000,integer
cost,title_iv.other_acad_calendar.by_income_level.48001-75000,integer
cost,title_iv.other_acad_calendar.by_income_level.75001-110000,integer
cost,title_iv.other_acad_calendar.by_income_level.110001-plus,integer
cost,attendance.academic_year,integer
cost,attendance.program_year,integer
cost,tuition.in_state,integer
cost,tuition.out_of_state,integer
cost,tuition.program_year,integer
school,tuition_revenue_per_fte,integer
school,instructional_expenditure_per_fte,integer
school,faculty_salary,integer
school,ft_faculty_rate,float
aid,pell_grant_rate,float
completion,completion_rate_4yr_150nt,float
completion,completion_rate_less_than_4yr_150nt,float
completion,completion_rate_4yr_150nt_pooled,float
completion,completion_rate_less_than_4yr_150nt_pooled,float
completion,pooled_yrs_used,integer
student,share_first.time_full.time,float
completion,completion_cohort_4yr_150nt,integer
completion,completion_cohort_less_than_4yr_150nt,integer
completion,completion_cohort_4yr_150nt_pooled,integer
completion,completion_cohort_less_than_4yr_150nt_pooled,integer
completion,completion_rate_4yr_150_white,float
completion,completion_rate_4yr_150_black,float
completion,completion_rate_4yr_150_hispanic,float
completion,completion_rate_4yr_150_asian,float
completion,completion_rate_4yr_150_aian,float
completion,completion_rate_4yr_150_nhpi,float
completion,completion_rate_4yr_150_2ormore,float
completion,completion_rate_4yr_150_nonresident.alien,float
completion,completion_rate_4yr_150_race.unknown,float
completion,completion_rate_4yr_150_white_pre2010,float
completion,completion_rate_4yr_150_black_pre2010,float
completion,completion_rate_4yr_150_api_pre2010,float
completion,completion_rate_4yr_150_aian_pre2010,float
completion,completion_rate_4yr_150_hispanic_pre2010,float
completion,completion_rate_l4yr_150_white,float
completion,completion_rate_l4yr_150_black,float
completion,completion_rate_l4yr_150_hispanic,float
completion,completion_rate_l4yr_150_asian,float
completion,completion_rate_l4yr_150_aian,float
completion,completion_rate_l4yr_150_nhpi,float
completion,completion_rate_l4yr_150_2ormore,float
completion,completion_rate_l4yr_150_nonresident.alien,float
completion,completion_rate_l4yr_150_race.unknown,float
completion,completion_rate_l4yr_150_white_pre2010,float
completion,completion_rate_l4yr_150_black_pre2010,float
completion,completion_rate_l4yr_150_api_pre2010,float
completion,completion_rate_l4yr_150_aian_pre2010,float
completion,completion_rate_l4yr_150_hispanic_pre2010,float
completion,completion_rate_4yr_200nt,float
completion,completion_rate_less_than_4yr_200nt,float
completion,completion_cohort_4yr_200nt,float
completion,completion_cohort_less_than_4yr_200nt,float
student,retention_rate.four_year.full_time,float
student,retention_rate.lt_four_year.full_time,float
student,retention_rate.four_year.part_time,float
student,retention_rate.lt_four_year.part_time,float
completion,completion_rate_4yr_200nt_pooled,float
completion,completion_rate_less_than_4yr_200nt_pooled,float
completion,pooled_yrs_used_200,integer
completion,completion_cohort_4yr_200nt_pooled,float
completion,completion_cohort_less_than_4yr_200nt_pooled,float
aid,federal_loan_rate,float
student,share_25_older,float
repayment,2_yr_default_rate,float
repayment,3_yr_default_rate,float
completion,title_iv.died_by.2yrs,float
completion,title_iv.completed_by.2yrs,float
completion,title_iv.transf_completed_4yr_by.2yrs,float
completion,title_iv.transf_completed_2yr_by.2yrs,float
completion,title_iv.withdrawn_by.2yrs,float
completion,title_iv.transf_withdrawn_4yr_by.2yrs,float
completion,title_iv.transf_withdrawn_2yr_by.2yrs,float
completion,title_iv.still_enrolled_by.2yrs,float
completion,title_iv.transf_still_enrolled_4yr_by.2yrs,float
completion,title_iv.transf_still_enrolled_2yr_by.2yrs,float
completion,title_iv.unknown_by.2yrs,float
completion,title_iv.transf_unknown_4yr_by.2yrs,float
completion,title_iv.transf_unknown_2yr_by.2yrs,float
completion,title_iv.low_inc.died_by.2yrs,float
completion,title_iv.low_inc.completed_by.2yrs,float
completion,title_iv.low_inc.transf_completed_4yr_by.2yrs,float
completion,title_iv.low_inc.transf_completed_2yr_by.2yrs,float
completion,title_iv.low_inc.withdrawn_by.2yrs,float
completion,title_iv.low_inc.transf_withdrawn_4yr_by.2yrs,float
completion,title_iv.low_inc.transf_withdrawn_2yr_by.2yrs,float
completion,title_iv.low_inc.still_enrolled_by.2yrs,float
completion,title_iv.low_inc.transf_still_enrolled_4yr_by.2yrs,float
completion,title_iv.low_inc.transf_still_enrolled_2yr_by.2yrs,float
completion,title_iv.low_inc.unknown_by.2yrs,float
completion,title_iv.low_inc.transf_unknown_4yr_by.2yrs,float
completion,title_iv.low_inc.transf_unknown_2yr_by.2yrs,float
completion,title_iv.mid_inc.died_by.2yrs,float
completion,title_iv.mid_inc.completed_by.2yrs,float
completion,title_iv.mid_inc.transf_completed_4yr_by.2yrs,float
completion,title_iv.mid_inc.transf_completed_2yr_by.2yrs,float
